title,date_published,genre,director,actors,avg_vote,comb
metropolis,1927-02-06,"Drama, Sci-Fi",Fritz Lang,"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Erwin Biswanger, Heinrich George, Brigitte Helm",8.3,Alfred Abel  Gustav Fröhlich  Rudolf Klein-Rogge  Fritz Rasp  Theodor Loos  Erwin Biswanger  Heinrich George  Brigitte Helm Fritz Lang Drama  Sci-Fi
city lights,1931-08-21,"Comedy, Drama, Romance",Charles Chaplin,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Charles Chaplin",8.5,Virginia Cherrill  Florence Lee  Harry Myers  Al Ernest Garcia  Hank Mann  Charles Chaplin Charles Chaplin Comedy  Drama  Romance
modern times,1936-10-16,"Comedy, Drama, Family",Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Stanley Blystone, Al Ernest Garcia, Richard Alexander, Cecil Reynolds, Mira McKinney, Murdock MacQuarrie, Wilfred Lucas, Edward LeSaint, Fred Malatesta",8.5,Charles Chaplin  Paulette Goddard  Henry Bergman  Tiny Sandford  Chester Conklin  Hank Mann  Stanley Blystone  Al Ernest Garcia  Richard Alexander  Cecil Reynolds  Mira McKinney  Murdock MacQuarrie  Wilfred Lucas  Edward LeSaint  Fred Malatesta Charles Chaplin Comedy  Drama  Family
snow white and the seven dwarfs,1938-07-08,"Animation, Family, Fantasy","William Cottrell, David Hand","Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins, Pinto Colvig, Marion Darlington, Billy Gilbert, Otis Harlan, Lucille La Verne, James MacDonald, Scotty Mattraw, Moroni Olsen, Purv Pullen, Harry Stockwell",7.6,Roy Atwell  Stuart Buchanan  Adriana Caselotti  Eddie Collins  Pinto Colvig  Marion Darlington  Billy Gilbert  Otis Harlan  Lucille La Verne  James MacDonald  Scotty Mattraw  Moroni Olsen  Purv Pullen  Harry Stockwell William Cottrell  David Hand Animation  Family  Fantasy
gone with the wind,1942-09-04,"Drama, History, Romance","Victor Fleming, George Cukor","Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard",8.1,Thomas Mitchell  Barbara O'Neil  Vivien Leigh  Evelyn Keyes  Ann Rutherford  George Reeves  Fred Crane  Hattie McDaniel  Oscar Polk  Butterfly McQueen  Victor Jory  Everett Brown  Howard Hickman  Alicia Rhett  Leslie Howard Victor Fleming  George Cukor Drama  History  Romance
mr. smith goes to washington,1940-05-03,"Comedy, Drama",Frank Capra,"Jean Arthur, James Stewart, Claude Rains, Edward Arnold, Guy Kibbee, Thomas Mitchell, Eugene Pallette, Beulah Bondi, H.B. Warner, Harry Carey, Astrid Allwyn, Ruth Donnelly, Grant Mitchell, Porter Hall, H.V. Kaltenborn",8.1,Jean Arthur  James Stewart  Claude Rains  Edward Arnold  Guy Kibbee  Thomas Mitchell  Eugene Pallette  Beulah Bondi  H.B. Warner  Harry Carey  Astrid Allwyn  Ruth Donnelly  Grant Mitchell  Porter Hall  H.V. Kaltenborn Frank Capra Comedy  Drama
the wizard of oz,1940-04-12,"Adventure, Family, Fantasy","Victor Fleming, George Cukor","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Charley Grapewin, Pat Walshe, Clara Blandick, Terry, The Singer Midgets",8.0,Judy Garland  Frank Morgan  Ray Bolger  Bert Lahr  Jack Haley  Billie Burke  Margaret Hamilton  Charley Grapewin  Pat Walshe  Clara Blandick  Terry  The Singer Midgets Victor Fleming  George Cukor Adventure  Family  Fantasy
fantasia,1942-04-03,"Animation, Family, Fantasy","James Algar, Samuel Armstrong","Leopold Stokowski, Deems Taylor",7.8,Leopold Stokowski  Deems Taylor James Algar  Samuel Armstrong Animation  Family  Fantasy
pinocchio,1940-09-06,"Animation, Comedy, Family","Norman Ferguson, T. Hee","Mel Blanc, Don Brodie, Stuart Buchanan, Walter Catlett, Marion Darlington, Frankie Darro, Cliff Edwards, Dickie Jones, Charles Judels, John McLeish, Patricia Page, Christian Rub, Evelyn Venable",7.4,Mel Blanc  Don Brodie  Stuart Buchanan  Walter Catlett  Marion Darlington  Frankie Darro  Cliff Edwards  Dickie Jones  Charles Judels  John McLeish  Patricia Page  Christian Rub  Evelyn Venable Norman Ferguson  T. Hee Animation  Comedy  Family
citizen kane,1942-04-17,"Drama, Mystery",Orson Welles,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick, Ray Collins, Erskine Sanford, Everett Sloane, William Alland, Paul Stewart, George Coulouris, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon",8.3,Joseph Cotten  Dorothy Comingore  Agnes Moorehead  Ruth Warrick  Ray Collins  Erskine Sanford  Everett Sloane  William Alland  Paul Stewart  George Coulouris  Fortunio Bonanova  Gus Schilling  Philip Van Zandt  Georgia Backus  Harry Shannon Orson Welles Drama  Mystery
